RBG_CYC_66824_Nw_c0_41V_40C_C10C10_170627_622BNG_VC211_100DOD_127 (155723 Points)
Capacity (mAh)	Voltage (V)
0	3.0124
0.4	3.0524
1	3.0924
1.8	3.1324
2.7	3.1724
3.4	3.1975
4.6	3.2375
6.1	3.2775
6.7	3.2917
8.6	3.3317
10.1	3.3575
12.7	3.3975
13.4	3.4068
16.8	3.4393
20.1	3.452
23.4	3.4595
26.8	3.4669
30.1	3.474
33.5	3.4809
36.9	3.4883
40.2	3.496
43.5	3.5053
46.9	3.5162
50.3	3.528
53.6	3.5401
57	3.5515
60.3	3.5639
63.6	3.5748
67	3.585
70.3	3.5959
73.7	3.6067
77	3.6142
80.4	3.621
83.8	3.6275
87.1	3.634
90.5	3.6405
93.8	3.6473
97.2	3.6532
100.5	3.6597
103.8	3.6666
107.2	3.6734
110.5	3.6811
113.9	3.6892
117.3	3.6982
120.6	3.7075
124	3.718
127.3	3.7289
130.7	3.7406
134	3.7527
137.3	3.7658
140.7	3.7788
144.1	3.7927
147.4	3.807
150.8	3.8216
154.1	3.8361
157.4	3.8507
160.8	3.8659
164.2	3.8811
167.5	3.8963
170.8	3.9118
174.2	3.9276
177.6	3.9437
180.9	3.9605
184.3	3.9781
187.6	3.9973
190.9	4.0172
194.3	4.0364
197.7	4.0541
201	4.0714
204.3	4.0888
207.2	4.0997
0	4.0919
3.4	4.0618
6.7	4.0411
10.1	4.0206
13.4	3.9998
16.8	3.9766
20.1	3.9536
23.4	3.9329
26.8	3.9149
30.1	3.8981
33.5	3.8814
36.9	3.8659
40.2	3.851
43.5	3.8358
46.9	3.8209
50.3	3.8061
53.6	3.7915
57	3.7769
60.3	3.7627
63.6	3.7484
67	3.7351
70.3	3.722
73.7	3.709
77	3.6969
80.4	3.6855
83.8	3.6749
87.1	3.665
90.5	3.6557
93.8	3.6467
97.2	3.6383
100.5	3.6306
103.8	3.6228
107.2	3.6154
110.5	3.6083
113.9	3.6008
117.3	3.5934
120.6	3.5863
124	3.5788
127.3	3.5714
130.7	3.5636
134	3.5556
137.3	3.5475
140.7	3.5391
144.1	3.5301
147.4	3.519
150.8	3.506
154.1	3.4936
157.4	3.4796
160.8	3.4675
164.2	3.4598
167.5	3.4533
170.8	3.4464
174.2	3.4396
177.6	3.4328
180.9	3.4247
184.3	3.4161
187.6	3.4037
190.9	3.3801
194.2	3.3401
194.3	3.3382
196.8	3.2979
197.7	3.2828
199.6	3.2428
201	3.2111
202.5	3.1711
203.9	3.1308
204.3	3.1156
205.4	3.0753
206.4	3.035
207.1	3
0	3.0124
0.4	3.0524
1	3.0924
1.8	3.1324
2.7	3.1724
3.4	3.1975
4.6	3.2375
6.1	3.2775
6.7	3.2917
8.6	3.3317
10.1	3.3575
12.7	3.3975
13.4	3.4071
16.8	3.4393
20.1	3.452
23.4	3.4598
26.8	3.4669
30.1	3.474
33.5	3.4812
36.9	3.4883
40.2	3.4964
43.5	3.5053
46.9	3.5165
50.3	3.528
53.6	3.5401
57	3.5518
60.3	3.5639
63.6	3.5748
67	3.585
70.3	3.5962
73.7	3.6067
77	3.6142
80.4	3.621
83.8	3.6275
87.1	3.634
90.5	3.6408
93.8	3.6473
97.2	3.6532
100.5	3.6597
103.8	3.6666
107.2	3.6737
110.5	3.6814
113.9	3.6895
117.3	3.6982
120.6	3.7078
124	3.718
127.3	3.7289
130.7	3.7406
134	3.7527
137.3	3.7658
140.7	3.7794
144.1	3.793
147.4	3.8073
150.8	3.8216
154.1	3.8364
157.4	3.851
160.8	3.8662
164.2	3.8811
167.5	3.8966
170.8	3.9118
174.2	3.9279
177.6	3.944
180.9	3.9608
184.3	3.9781
187.6	3.9977
190.9	4.0172
194.3	4.0367
197.7	4.0544
201	4.0718
204.3	4.0888
207.2	4.0997
0	4.0919
3.4	4.0621
6.7	4.0414
10.1	4.0209
13.4	3.9998
16.8	3.9766
20.1	3.9536
23.4	3.9332
26.8	3.9149
30.1	3.8981
33.5	3.882
36.9	3.8659
40.2	3.851
43.5	3.8358
46.9	3.8209
50.3	3.8064
53.6	3.7915
57	3.7772
60.3	3.7627
63.6	3.749
67	3.7354
70.3	3.722
73.7	3.7093
77	3.6972
80.4	3.6858
83.8	3.6749
87.1	3.665
90.5	3.6557
93.8	3.6467
97.2	3.6383
100.5	3.6306
103.8	3.6232
107.2	3.6154
110.5	3.6083
113.9	3.6008
117.3	3.5934
120.6	3.5863
124	3.5788
127.3	3.5717
130.7	3.5636
134	3.5556
137.3	3.5475
140.7	3.5391
144.1	3.5301
147.4	3.519
150.8	3.5066
154.1	3.4936
157.4	3.4796
160.8	3.4675
164.2	3.4598
167.5	3.4533
170.8	3.4468
174.2	3.4399
177.6	3.4325
180.9	3.4247
184.3	3.4161
187.6	3.4037
190.9	3.3798
194.2	3.3398
194.3	3.3379
196.8	3.2979
197.7	3.2821
199.6	3.2421
201	3.2105
202.5	3.1705
203.9	3.1305
204.3	3.1144
205.4	3.0744
206.4	3.0344
207.1	3
0	3.0118
0.4	3.0518
1	3.0918
1.7	3.1318
2.7	3.1721
3.4	3.1978
4.6	3.2378
6.1	3.2778
6.7	3.2921
8.6	3.3324
10.1	3.3578
12.7	3.3978
13.4	3.4071
16.8	3.4396
20.1	3.452
23.4	3.4598
26.8	3.4669
30.1	3.474
33.5	3.4812
36.9	3.4886
40.2	3.4964
43.5	3.5057
46.9	3.5165
50.3	3.5283
53.6	3.5404
57	3.5518
60.3	3.5642
63.6	3.5751
67	3.5853
70.3	3.5962
73.7	3.607
77	3.6145
80.4	3.621
83.8	3.6275
87.1	3.6343
90.5	3.6408
93.8	3.6473
97.2	3.6535
100.5	3.66
103.8	3.6669
107.2	3.674
110.5	3.6814
113.9	3.6898
117.3	3.6988
120.6	3.7081
124	3.7186
127.3	3.7295
130.7	3.7413
134	3.7534
137.3	3.7664
140.7	3.78
144.1	3.7937
147.4	3.8079
150.8	3.8222
154.1	3.8371
157.4	3.8516
160.8	3.8668
164.2	3.882
167.5	3.8972
170.8	3.9127
174.2	3.9288
177.6	3.945
180.9	3.9617
184.3	3.9794
187.6	3.9986
190.9	4.0184
194.3	4.0376
197.7	4.0553
201	4.0727
204.3	4.0904
207	4.0997
0	4.0922
3.4	4.0621
6.7	4.0411
10.1	4.0206
13.4	3.9998
16.8	3.9766
20.1	3.9533
23.4	3.9329
26.8	3.9149
30.1	3.8981
33.5	3.882
36.9	3.8665
40.2	3.851
43.5	3.8358
46.9	3.8209
50.3	3.8061
53.6	3.7915
57	3.7769
60.3	3.7627
63.6	3.7484
67	3.7351
70.3	3.7217
73.7	3.709
77	3.6969
80.4	3.6855
83.8	3.6749
87.1	3.665
90.5	3.6557
93.8	3.6467
97.2	3.6383
100.5	3.6303
103.8	3.6228
107.2	3.6154
110.5	3.6077
113.9	3.6005
117.3	3.5931
120.6	3.5859
124	3.5785
127.3	3.5711
130.7	3.5633
134	3.5556
137.3	3.5472
140.7	3.5388
144.1	3.5292
147.4	3.5184
150.8	3.5057
154.1	3.4933
157.4	3.479
160.8	3.4669
164.2	3.4592
167.5	3.453
170.8	3.4461
174.2	3.4396
177.6	3.4322
180.9	3.4244
184.3	3.4157
187.6	3.403
190.9	3.3782
194.1	3.3382
194.3	3.3355
196.7	3.2955
197.7	3.279
199.6	3.239
201	3.2065
202.5	3.1665
203.8	3.1265
204.3	3.1088
205.4	3.0688
206.3	3.0288
206.9	3
0	3.0121
0.4	3.0521
1	3.0921
1.7	3.1321
2.7	3.1721
3.4	3.1975
4.6	3.2375
6.1	3.2775
6.7	3.2921
8.6	3.3324
10.1	3.3578
12.7	3.3978
13.4	3.4071
16.8	3.4396
20.1	3.4526
23.4	3.4598
26.8	3.4669
30.1	3.474
33.5	3.4812
36.9	3.4886
40.2	3.4964
43.5	3.5057
46.9	3.5165
50.3	3.5283
53.6	3.5404
57	3.5518
60.3	3.5639
63.6	3.5751
67	3.5853
70.3	3.5962
73.7	3.607
77	3.6145
80.4	3.621
83.8	3.6278
87.1	3.6343
90.5	3.6408
93.8	3.6473
97.2	3.6535
100.5	3.66
103.8	3.6669
107.2	3.674
110.5	3.6817
113.9	3.6898
117.3	3.6985
120.6	3.7081
124	3.7186
127.3	3.7295
130.7	3.7413
134	3.7537
137.3	3.7664
140.7	3.78
144.1	3.7937
147.4	3.8079
150.8	3.8225
154.1	3.8371
157.4	3.8519
160.8	3.8668
164.2	3.882
167.5	3.8972
170.8	3.9127
174.2	3.9285
177.6	3.945
180.9	3.9617
184.3	3.9794
187.6	3.9986
190.9	4.0184
194.3	4.0376
197.7	4.0553
201	4.0727
204.3	4.0904
207	4.0997
0	4.0922
3.4	4.0621
6.7	4.0411
10.1	4.0206
13.4	3.9995
16.8	3.9766
20.1	3.9533
23.4	3.9329
26.8	3.9149
30.1	3.8981
33.5	3.8814
36.9	3.8659
40.2	3.8507
43.5	3.8358
46.9	3.8209
50.3	3.8064
53.6	3.7915
57	3.7769
60.3	3.7624
63.6	3.7484
67	3.7351
70.3	3.7217
73.7	3.709
77	3.6969
80.4	3.6855
83.8	3.6746
87.1	3.6647
90.5	3.6554
93.8	3.6464
97.2	3.638
100.5	3.6303
103.8	3.6225
107.2	3.6151
110.5	3.6077
113.9	3.6005
117.3	3.5931
120.6	3.5856
124	3.5785
127.3	3.5711
130.7	3.5633
134	3.5553
137.3	3.5472
140.7	3.5388
144.1	3.5292
147.4	3.5184
150.8	3.5053
154.1	3.4929
157.4	3.4787
160.8	3.4666
164.2	3.4592
167.5	3.453
170.8	3.4461
174.2	3.4393
177.6	3.4322
180.9	3.4244
184.3	3.4154
187.6	3.4027
190.9	3.3779
194.1	3.3379
194.3	3.3351
196.8	3.2948
197.7	3.2784
199.6	3.2384
201	3.2062
202.5	3.1662
203.8	3.1262
204.3	3.1082
205.4	3.0682
206.3	3.0282
206.9	3
0	3.0124
0.4	3.0524
1	3.0924
1.8	3.1324
2.7	3.1724
3.4	3.1975
4.6	3.2375
6.1	3.2775
6.7	3.2917
8.6	3.3317
10.1	3.3575
12.7	3.3975
13.4	3.4071
16.8	3.4393
20.1	3.452
23.4	3.4598
26.8	3.4669
30.1	3.474
33.5	3.4809
36.9	3.4883
40.2	3.4964
43.5	3.5053
46.9	3.5165
50.3	3.528
53.6	3.5401
57	3.5518
60.3	3.5639
63.6	3.5748
67	3.5853
70.3	3.5962
73.7	3.6067
77	3.6142
80.4	3.621
83.8	3.6275
87.1	3.634
90.5	3.6408
93.8	3.6473
97.2	3.6535
100.5	3.6597
103.8	3.6666
107.2	3.6737
110.5	3.6814
113.9	3.6895
117.3	3.6985
120.6	3.7081
124	3.7183
127.3	3.7292
130.7	3.7413
134	3.7534
137.3	3.7664
140.7	3.78
144.1	3.7937
147.4	3.8079
150.8	3.8222
154.1	3.8371
157.4	3.8516
160.8	3.8668
164.2	3.882
167.5	3.8972
170.8	3.9127
174.2	3.9285
177.6	3.945
180.9	3.9617
184.3	3.9791
187.6	3.9986
190.9	4.0184
194.3	4.0376
197.7	4.0553
201	4.0727
204.3	4.0904
206.9	4.0993
0	4.0919
3.4	4.0618
6.7	4.0411
10.1	4.0203
13.4	3.9989
16.8	3.976
20.1	3.953
23.4	3.9322
26.8	3.9146
30.1	3.8978
33.5	3.8814
36.9	3.8656
40.2	3.8507
43.5	3.8355
46.9	3.8206
50.3	3.8058
53.6	3.7912
57	3.7766
60.3	3.7624
63.6	3.7481
67	3.7348
70.3	3.7214
73.7	3.7087
77	3.6966
80.4	3.6848
83.8	3.6746
87.1	3.6644
90.5	3.6548
93.8	3.6461
97.2	3.638
100.5	3.63
103.8	3.6222
107.2	3.6148
110.5	3.6073
113.9	3.5999
117.3	3.5928
120.6	3.5853
124	3.5782
127.3	3.5708
130.7	3.563
134	3.5549
137.3	3.5469
140.7	3.5382
144.1	3.5286
147.4	3.5174
150.8	3.5047
154.1	3.492
157.4	3.4781
160.8	3.466
164.2	3.4588
167.5	3.4526
170.8	3.4458
174.2	3.439
177.6	3.4319
180.9	3.4238
184.3	3.4148
187.6	3.4018
190.9	3.3754
194.1	3.3351
194.3	3.332
196.7	3.2917
197.7	3.275
199.6	3.235
201	3.2009
202.5	3.1609
203.8	3.1209
204.3	3.1011
205.4	3.0611
206.3	3.0211
206.7	3
0	3.0124
0.4	3.0524
1	3.0924
1.8	3.1324
2.7	3.1724
3.4	3.1975
4.6	3.2375
6.1	3.2775
6.7	3.2921
8.6	3.3324
10.1	3.3575
12.7	3.3975
13.4	3.4071
16.8	3.4393
20.1	3.452
23.4	3.4598
26.8	3.4669
30.1	3.474
33.5	3.4812
36.9	3.4883
40.2	3.4964
43.5	3.5057
46.9	3.5165
50.3	3.5283
53.6	3.5404
57	3.5518
60.3	3.5639
63.6	3.5751
67	3.5853
70.3	3.5962
73.7	3.607
77	3.6145
80.4	3.621
83.8	3.6278
87.1	3.6343
90.5	3.6408
93.8	3.6476
97.2	3.6535
100.5	3.66
103.8	3.6669
107.2	3.674
110.5	3.6817
113.9	3.6898
117.3	3.6988
120.6	3.7084
124	3.7189
127.3	3.7298
130.7	3.7416
134	3.754
137.3	3.767
140.7	3.7803
144.1	3.794
147.4	3.8082
150.8	3.8228
154.1	3.8374
157.4	3.8523
160.8	3.8674
164.2	3.8826
167.5	3.8978
170.8	3.9133
174.2	3.9291
177.6	3.9453
180.9	3.9623
184.3	3.98
187.6	3.9992
190.9	4.019
194.3	4.0383
197.7	4.0559
201	4.0733
204.3	4.091
206.8	4.0993
0	4.0919
3.4	4.0618
6.7	4.0407
10.1	4.0203
13.4	3.9989
16.8	3.976
20.1	3.9527
23.4	3.9322
26.8	3.9146
30.1	3.8972
33.5	3.8814
36.9	3.8656
40.2	3.8501
43.5	3.8355
46.9	3.8206
50.3	3.8058
53.6	3.7912
57	3.7766
60.3	3.7624
63.6	3.7481
67	3.7344
70.3	3.7214
73.7	3.7087
77	3.6966
80.4	3.6852
83.8	3.6746
87.1	3.6644
90.5	3.6548
93.8	3.6461
97.2	3.6377
100.5	3.63
103.8	3.6222
107.2	3.6148
110.5	3.6073
113.9	3.5999
117.3	3.5928
120.6	3.5853
124	3.5779
127.3	3.5704
130.7	3.5627
134	3.5549
137.3	3.5466
140.7	3.5382
144.1	3.5286
147.4	3.5174
150.8	3.5047
154.1	3.492
157.4	3.4781
160.8	3.466
164.2	3.4588
167.5	3.4526
170.8	3.4458
174.2	3.439
177.6	3.4316
180.9	3.4238
184.3	3.4148
187.6	3.4018
190.9	3.3758
194	3.3358
194.3	3.3324
196.7	3.2924
197.7	3.275
199.6	3.235
201	3.2012
202.5	3.1612
203.8	3.1212
204.3	3.1017
205.4	3.0617
206.3	3.0217
206.7	3
0	3.0118
0.4	3.0518
1	3.0918
1.7	3.1318
2.7	3.1721
3.4	3.1975
4.6	3.2375
6.1	3.2775
6.7	3.2917
8.6	3.3317
10.1	3.3578
12.7	3.3978
13.4	3.4071
16.8	3.4393
20.1	3.452
23.4	3.4598
26.8	3.4669
30.1	3.474
33.5	3.4809
36.9	3.4883
40.2	3.4964
43.5	3.5057
46.9	3.5165
50.3	3.528
53.6	3.5404
57	3.5518
60.3	3.5639
63.6	3.5748
67	3.5853
70.3	3.5962
73.7	3.6067
77	3.6145
80.4	3.621
83.8	3.6275
87.1	3.6343
90.5	3.6408
93.8	3.6473
97.2	3.6535
100.5	3.66
103.8	3.6669
107.2	3.674
110.5	3.6817
113.9	3.6898
117.3	3.6988
120.6	3.7084
124	3.7189
127.3	3.7298
130.7	3.7416
134	3.754
137.3	3.767
140.7	3.7806
144.1	3.7943
147.4	3.8085
150.8	3.8228
154.1	3.8377
157.4	3.8526
160.8	3.8674
164.2	3.8826
167.5	3.8978
170.8	3.9133
174.2	3.9295
177.6	3.9456
180.9	3.9623
184.3	3.98
187.6	3.9992
190.9	4.019
194.3	4.0383
197.7	4.0559
201	4.0736
204.3	4.0913
206.7	4.0993
0	4.0916
3.4	4.0612
6.7	4.0404
10.1	4.02
13.4	3.9986
16.8	3.975
20.1	3.9524
23.4	3.9319
26.8	3.9143
30.1	3.8969
33.5	3.8811
36.9	3.8653
40.2	3.8501
43.5	3.8352
46.9	3.8203
50.3	3.8054
53.6	3.7909
57	3.7763
60.3	3.762
63.6	3.7478
67	3.7344
70.3	3.7211
73.7	3.7084
77	3.6963
80.4	3.6848
83.8	3.6743
87.1	3.6644
90.5	3.6548
93.8	3.6461
97.2	3.6377
100.5	3.6297
103.8	3.6222
107.2	3.6148
110.5	3.607
113.9	3.5996
117.3	3.5921
120.6	3.5853
124	3.5779
127.3	3.5704
130.7	3.5627
134	3.5546
137.3	3.5466
140.7	3.5379
144.1	3.5283
147.4	3.5171
150.8	3.5044
154.1	3.4917
157.4	3.4774
160.8	3.466
164.2	3.4585
167.5	3.4523
170.8	3.4455
174.2	3.4387
177.6	3.4316
180.9	3.4238
184.3	3.4145
187.6	3.4012
190.9	3.3745
194	3.3345
194.3	3.3308
196.7	3.2908
197.7	3.2731
199.5	3.2331
201	3.199
202.5	3.1587
203.8	3.1187
204.3	3.0983
205.4	3.0583
206.3	3.0183
206.6	3
0	3.0124
0.4	3.0524
1	3.0924
1.8	3.1324
2.7	3.1724
3.4	3.1975
4.6	3.2375
6.1	3.2775
6.7	3.2917
8.6	3.3317
10.1	3.3575
12.7	3.3975
13.4	3.4068
16.8	3.4393
20.1	3.452
23.4	3.4598
26.8	3.4669
30.1	3.474
33.5	3.4812
36.9	3.4883
40.2	3.4964
43.5	3.5053
46.9	3.5165
50.3	3.528
53.6	3.5401
57	3.5515
60.3	3.5639
63.6	3.5748
67	3.5853
70.3	3.5962
73.7	3.6067
77	3.6145
80.4	3.621
83.8	3.6275
87.1	3.6343
90.5	3.6408
93.8	3.6473
97.2	3.6535
100.5	3.66
103.8	3.6669
107.2	3.674
110.5	3.6817
113.9	3.6901
117.3	3.6988
120.6	3.7084
124	3.7189
127.3	3.7301
130.7	3.7419
134	3.7543
137.3	3.7673
140.7	3.781
144.1	3.7949
147.4	3.8092
150.8	3.8234
154.1	3.838
157.4	3.8529
160.8	3.8681
164.2	3.8833
167.5	3.8984
170.8	3.914
174.2	3.9301
177.6	3.9462
180.9	3.9629
184.3	3.9806
187.6	3.9998
190.9	4.0203
194.3	4.0392
197.7	4.0569
201	4.0745
204.3	4.0919
206.5	4.099
0	4.0916
3.4	4.0612
6.7	4.0404
10.1	4.02
13.4	3.9983
16.8	3.9747
20.1	3.9518
23.4	3.9319
26.8	3.914
30.1	3.8969
33.5	3.8808
36.9	3.8653
40.2	3.8501
43.5	3.8352
46.9	3.8203
50.3	3.8054
53.6	3.7909
57	3.7763
60.3	3.7617
63.6	3.7478
67	3.7344
70.3	3.7211
73.7	3.7081
77	3.6963
80.4	3.6845
83.8	3.674
87.1	3.6641
90.5	3.6545
93.8	3.6458
97.2	3.6374
100.5	3.6297
103.8	3.6219
107.2	3.6145
110.5	3.607
113.9	3.5993
117.3	3.5921
120.6	3.585
124	3.5776
127.3	3.5701
130.7	3.5624
134	3.5543
137.3	3.5463
140.7	3.5379
144.1	3.528
147.4	3.5168
150.8	3.5041
154.1	3.4914
157.4	3.4774
160.8	3.4657
164.2	3.4585
167.5	3.4523
170.8	3.4455
174.2	3.4387
177.6	3.4316
180.9	3.4235
184.3	3.4145
187.6	3.4012
190.9	3.3742
194	3.3342
194.3	3.3302
196.7	3.2899
197.7	3.2722
199.6	3.2322
201	3.1978
202.5	3.1578
203.7	3.1178
204.3	3.0967
205.4	3.0567
206.3	3.0164
206.6	3
0	3.0124
0.4	3.0524
1	3.0924
1.8	3.1324
2.7	3.1724
3.4	3.1975
4.6	3.2375
6.1	3.2775
6.7	3.2917
8.6	3.3317
10.1	3.3575
12.7	3.3975
13.4	3.4071
16.8	3.4393
20.1	3.452
23.4	3.4598
26.8	3.4669
30.1	3.474
33.5	3.4812
36.9	3.4886
40.2	3.4964
43.5	3.5057
46.9	3.5165
50.3	3.5283
53.6	3.5404
57	3.5515
60.3	3.5639
63.6	3.5751
67	3.5853
70.3	3.5962
73.7	3.607
77	3.6145
80.4	3.621
83.8	3.6275
87.1	3.6343
90.5	3.6408
93.8	3.6476
97.2	3.6535
100.5	3.66
103.8	3.6669
107.2	3.674
110.5	3.6817
113.9	3.6901
117.3	3.6991
120.6	3.7084
124	3.7189
127.3	3.7301
130.7	3.7419
134	3.7543
137.3	3.7673
140.7	3.781
144.1	3.7949
147.4	3.8089
150.8	3.8234
154.1	3.838
157.4	3.8529
160.8	3.8681
164.2	3.8833
167.5	3.8984
170.8	3.914
174.2	3.9298
177.6	3.9462
180.9	3.9629
184.3	3.9806
187.6	3.9998
190.9	4.0197
194.3	4.0392
197.7	4.0569
201	4.0745
204.3	4.0919
206.6	4.099
0	4.0916
3.4	4.0612
6.7	4.0404
10.1	4.02
13.4	3.9983
16.8	3.9747
20.1	3.9518
23.4	3.9319
26.8	3.914
30.1	3.8969
33.5	3.8808
36.9	3.8653
40.2	3.8498
43.5	3.8352
46.9	3.8203
50.3	3.8054
53.6	3.7906
57	3.776
60.3	3.7617
63.6	3.7478
67	3.7341
70.3	3.7211
73.7	3.7081
77	3.6963
80.4	3.6845
83.8	3.674
87.1	3.6641
90.5	3.6542
93.8	3.6458
97.2	3.6374
100.5	3.6294
103.8	3.6219
107.2	3.6145
110.5	3.6067
113.9	3.5993
117.3	3.5918
120.6	3.5844
124	3.5776
127.3	3.5701
130.7	3.5624
134	3.5543
137.3	3.546
140.7	3.5373
144.1	3.528
147.4	3.5165
150.8	3.5038
154.1	3.4911
157.4	3.4771
160.8	3.4654
164.2	3.4582
167.5	3.452
170.8	3.4452
174.2	3.4384
177.6	3.4312
180.9	3.4235
184.3	3.4142
187.6	3.4006
190.9	3.3733
194	3.3333
194.3	3.3286
196.7	3.2886
197.7	3.2703
199.6	3.23
201	3.1953
202.5	3.1553
203.7	3.1153
204.3	3.093
205.4	3.053
206.2	3.013
206.5	3
0	3.0121
0.4	3.0521
1	3.0921
1.7	3.1321
2.7	3.1721
3.4	3.1975
4.6	3.2375
6.1	3.2775
6.7	3.2917
8.6	3.3317
10.1	3.3575
12.7	3.3975
13.4	3.4068
16.8	3.4393
20.1	3.452
23.4	3.4598
26.8	3.4669
30.1	3.474
33.5	3.4812
36.9	3.4883
40.2	3.4964
43.5	3.5053
46.9	3.5165
50.3	3.528
53.6	3.5404
57	3.5518
60.3	3.5639
63.6	3.5748
67	3.5853
70.3	3.5962
73.7	3.6067
77	3.6145
80.4	3.621
83.8	3.6278
87.1	3.6343
90.5	3.6408
93.8	3.6473
97.2	3.6535
100.5	3.66
103.8	3.6672
107.2	3.6743
110.5	3.6817
113.9	3.6901
117.3	3.6988
120.6	3.7087
124	3.7193
127.3	3.7301
130.7	3.7422
134	3.7543
137.3	3.7673
140.7	3.781
144.1	3.7949
147.4	3.8089
150.8	3.8234
154.1	3.8383
157.4	3.8529
160.8	3.8681
164.2	3.8833
167.5	3.8984
170.8	3.914
174.2	3.9298
177.6	3.9462
180.9	3.9629
184.3	3.9806
187.6	3.9998
190.9	4.0197
194.3	4.0392
197.7	4.0569
201	4.0745
204.3	4.0919
206.5	4.099
0	4.0913
3.4	4.0612
6.7	4.0404
10.1	4.0197
13.4	3.998
16.8	3.9747
20.1	3.9518
23.4	3.9316
26.8	3.914
30.1	3.8969
33.5	3.8808
36.9	3.8653
40.2	3.8498
43.5	3.8346
46.9	3.8203
50.3	3.8054
53.6	3.7906
57	3.776
60.3	3.7617
63.6	3.7478
67	3.7341
70.3	3.7208
73.7	3.7081
77	3.6963
80.4	3.6845
83.8	3.674
87.1	3.6641
90.5	3.6545
93.8	3.6458
97.2	3.6374
100.5	3.6294
103.8	3.6219
107.2	3.6142
110.5	3.6067
113.9	3.5993
117.3	3.5918
120.6	3.5844
124	3.5776
127.3	3.5701
130.7	3.5621
134	3.5543
137.3	3.5463
140.7	3.5373
144.1	3.5277
147.4	3.5165
150.8	3.5038
154.1	3.4911
157.4	3.4768
160.8	3.4654
164.2	3.4582
167.5	3.452
170.8	3.4455
174.2	3.4384
177.6	3.4312
180.9	3.4235
184.3	3.4142
187.6	3.4002
190.9	3.3727
194	3.3327
194.3	3.3277
196.7	3.2877
197.7	3.2694
199.5	3.2294
201	3.1941
202.4	3.1541
203.7	3.1141
204.3	3.0915
205.3	3.0515
206.2	3.0115
206.4	3
0	3.0121
0.4	3.0521
1	3.0921
1.7	3.1321
2.7	3.1721
3.4	3.1975
4.6	3.2375
6.1	3.2775
6.7	3.2917
8.6	3.3317
10.1	3.3575
12.7	3.3975
13.4	3.4068
16.8	3.4393
20.1	3.4526
23.4	3.4598
26.8	3.4669
30.1	3.474
33.5	3.4812
36.9	3.4886
40.2	3.4964
43.5	3.5057
46.9	3.5165
50.3	3.528
53.6	3.5401
57	3.5515
60.3	3.5639
63.6	3.5751
67	3.5853
70.3	3.5962
73.7	3.607
77	3.6145
80.4	3.621
83.8	3.6275
87.1	3.6343
90.5	3.6411
93.8	3.6476
97.2	3.6535
100.5	3.6604
103.8	3.6672
107.2	3.6743
110.5	3.6821
113.9	3.6904
117.3	3.6991
120.6	3.7087
124	3.7193
127.3	3.7304
130.7	3.7422
134	3.7546
137.3	3.7679
140.7	3.7816
144.1	3.7952
147.4	3.8095
150.8	3.8237
154.1	3.8386
157.4	3.8535
160.8	3.8684
164.2	3.8836
167.5	3.8988
170.8	3.9146
174.2	3.9301
177.6	3.9465
180.9	3.9632
184.3	3.9812
187.6	4.0001
190.9	4.0206
194.3	4.0395
197.7	4.0572
201	4.0752
204.3	4.0925
206.5	4.0993
0	4.0916
3.4	4.0612
6.7	4.0404
10.1	4.0197
13.4	3.998
16.8	3.9744
20.1	3.9518
23.4	3.9319
26.8	3.914
30.1	3.8969
33.5	3.8808
36.9	3.8653
40.2	3.8501
43.5	3.8352
46.9	3.8203
50.3	3.8054
53.6	3.7906
57	3.776
60.3	3.762
63.6	3.7478
67	3.7344
70.3	3.7211
73.7	3.7081
77	3.6963
80.4	3.6848
83.8	3.674
87.1	3.6641
90.5	3.6545
93.8	3.6458
97.2	3.6374
100.5	3.6297
103.8	3.6219
107.2	3.6145
110.5	3.6067
113.9	3.5993
117.3	3.5918
120.6	3.585
124	3.5776
127.3	3.5701
130.7	3.5624
134	3.5543
137.3	3.5463
140.7	3.5379
144.1	3.528
147.4	3.5168
150.8	3.5038
154.1	3.4911
157.4	3.4768
160.8	3.4654
164.2	3.4585
167.5	3.452
170.8	3.4455
174.2	3.4384
177.6	3.4312
180.9	3.4235
184.3	3.4142
187.6	3.4006
190.9	3.373
194	3.333
194.3	3.328
196.7	3.288
197.7	3.2697
199.5	3.2297
201	3.1944
202.4	3.1544
203.7	3.1144
204.3	3.0918
205.4	3.0518
206.2	3.0118
206.5	3
0	3.0121
0.4	3.0521
1	3.0921
1.7	3.1321
2.7	3.1721
3.4	3.1975
4.6	3.2375
6.1	3.2775
6.7	3.2917
8.6	3.3317
10.1	3.3575
12.7	3.3975
13.4	3.4068
16.8	3.4396
20.1	3.4526
23.4	3.4604
26.8	3.4672
30.1	3.474
33.5	3.4812
36.9	3.4886
40.2	3.4964
43.5	3.5057
46.9	3.5165
50.3	3.5283
53.6	3.5404
57	3.5518
60.3	3.5639
63.6	3.5748
67	3.5853
70.3	3.5962
73.7	3.607
77	3.6145
80.4	3.6213
83.8	3.6275
87.1	3.6343
90.5	3.6411
93.8	3.6476
97.2	3.6538
100.5	3.6604
103.8	3.6672
107.2	3.6746
110.5	3.6821
113.9	3.6904
117.3	3.6994
120.6	3.7093
124	3.7196
127.3	3.7304
130.7	3.7425
134	3.7546
137.3	3.7679
140.7	3.7816
144.1	3.7955
147.4	3.8095
150.8	3.824
154.1	3.8386
157.4	3.8535
160.8	3.8684
164.2	3.8836
167.5	3.8991
170.8	3.9146
