RBG_CYC_66824_Nw_c0_41V_40C_C10C10_170627_622BNG_VC211_100DOD_127 (155723 Points)
Capacity (mAh)	Voltage (V)
10.1	3.3624
12.8	3.4024
13.4	3.4105
16.8	3.439
20.1	3.4483
23.4	3.4557
26.8	3.4629
30.1	3.47
33.5	3.4771
36.9	3.4852
40.2	3.4942
43.5	3.5044
46.9	3.5156
50.3	3.527
53.6	3.5388
57	3.5506
60.3	3.5621
63.6	3.5726
67	3.5838
70.3	3.5946
73.7	3.6027
77	3.6101
80.4	3.617
83.8	3.6232
87.1	3.629
90.5	3.6349
93.8	3.6405
97.2	3.6458
100.5	3.6517
103.8	3.6573
107.2	3.6635
110.5	3.6697
113.9	3.6762
117.3	3.6836
120.6	3.6914
124	3.6997
127.3	3.7084
130.7	3.7186
134	3.7289
137.3	3.7397
140.7	3.7515
144.1	3.7639
147.4	3.7769
150.8	3.7903
154.1	3.8042
157.4	3.8185
160.8	3.8327
164.2	3.8476
167.5	3.8628
170.8	3.8783
174.2	3.8941
177.6	3.9102
180.9	3.9276
184.3	3.945
187.6	3.9623
190.9	3.9787
194.3	3.9952
197.7	4.0116
201	4.0287
204.3	4.0457
207.7	4.0625
211.1	4.0795
214.4	4.0966
215.7	4.0993
0	4.0925
3.4	4.0628
6.7	4.0426
10.1	4.0237
13.4	4.0045
16.8	3.9862
20.1	3.9673
23.4	3.9493
26.8	3.9307
30.1	3.9112
33.5	3.8919
36.9	3.8736
40.2	3.8566
43.5	3.8405
46.9	3.825
50.3	3.8098
53.6	3.7952
57	3.781
60.3	3.7667
63.6	3.7531
67	3.7397
70.3	3.727
73.7	3.7146
77	3.7031
80.4	3.692
83.8	3.6814
87.1	3.6715
90.5	3.6622
93.8	3.6535
97.2	3.6455
100.5	3.6377
103.8	3.6306
107.2	3.6241
110.5	3.617
113.9	3.6104
117.3	3.6039
120.6	3.5974
124	3.5909
127.3	3.5841
130.7	3.5773
134	3.5701
137.3	3.563
140.7	3.5553
144.1	3.5472
147.4	3.5385
150.8	3.5289
154.1	3.5193
157.4	3.5081
160.8	3.4954
164.2	3.4827
167.5	3.4709
170.8	3.4598
174.2	3.4499
177.6	3.4421
180.9	3.4347
184.3	3.4266
187.6	3.4179
190.9	3.408
194.3	3.3956
197.7	3.3792
201	3.3506
203.8	3.3103
204.3	3.301
206.5	3.261
207.7	3.2362
209.4	3.1956
210.9	3.1556
211.1	3.1513
212.3	3.1113
213.4	3.0713
214.4	3.0313
214.4	3.0313
215.1	3
0	3.013
0.2	3.053
0.8	3.093
1.5	3.133
2.4	3.173
3.4	3.2071
4.6	3.2471
6.2	3.2871
6.7	3.2983
8.7	3.3386
10.1	3.3618
12.7	3.4018
13.4	3.4099
16.8	3.4387
20.1	3.4483
23.4	3.4557
26.8	3.4629
30.1	3.47
33.5	3.4771
36.9	3.4849
40.2	3.4939
43.5	3.5041
46.9	3.5153
50.3	3.5267
53.6	3.5385
57	3.5506
60.3	3.5621
63.6	3.5726
67	3.5835
70.3	3.5943
73.7	3.6027
77	3.6101
80.4	3.617
83.8	3.6228
87.1	3.629
90.5	3.6349
93.8	3.6405
97.2	3.6461
100.5	3.6517
103.8	3.6576
107.2	3.6638
110.5	3.6697
113.9	3.6765
117.3	3.6839
120.6	3.6917
124	3.7
127.3	3.7093
130.7	3.7193
134	3.7295
137.3	3.7406
140.7	3.7524
144.1	3.7648
147.4	3.7775
150.8	3.7912
154.1	3.8051
157.4	3.8194
160.8	3.8343
164.2	3.8485
167.5	3.8637
170.8	3.8792
174.2	3.895
177.6	3.9115
180.9	3.9285
184.3	3.9459
187.6	3.9632
190.9	3.98
194.3	3.9964
197.7	4.0135
201	4.0305
204.3	4.0473
207.7	4.0643
211.1	4.0814
214.4	4.0987
215.4	4.0993
0	4.0925
3.4	4.0631
6.7	4.0429
10.1	4.0237
13.4	4.0045
16.8	3.9862
20.1	3.9673
23.4	3.949
26.8	3.9301
30.1	3.9105
33.5	3.8913
36.9	3.873
40.2	3.856
43.5	3.8402
46.9	3.8247
50.3	3.8098
53.6	3.7949
57	3.781
60.3	3.7667
63.6	3.7531
67	3.7397
70.3	3.727
73.7	3.7146
77	3.7031
80.4	3.6917
83.8	3.6814
87.1	3.6715
90.5	3.6619
93.8	3.6535
97.2	3.6455
100.5	3.6377
103.8	3.6303
107.2	3.6235
110.5	3.617
113.9	3.6104
117.3	3.6039
120.6	3.5971
124	3.5906
127.3	3.5838
130.7	3.5766
134	3.5698
137.3	3.5627
140.7	3.5549
144.1	3.5466
147.4	3.5379
150.8	3.5286
154.1	3.5187
157.4	3.5075
160.8	3.4945
164.2	3.4818
167.5	3.47
170.8	3.4588
174.2	3.4495
177.6	3.4421
180.9	3.4347
184.3	3.4269
187.6	3.4179
190.9	3.408
194.3	3.3956
197.7	3.3785
201	3.3485
203.7	3.3085
204.3	3.2973
206.5	3.2573
207.7	3.2313
209.4	3.1913
210.8	3.1513
211.1	3.1448
212.3	3.1048
213.4	3.0648
214.3	3.0248
214.4	3.0208
214.8	3
0	3.014
0.2	3.054
0.8	3.0943
1.6	3.1343
2.5	3.1746
3.4	3.2059
4.6	3.2459
6.2	3.2859
6.7	3.2976
8.7	3.3376
10.1	3.3612
12.7	3.4012
13.4	3.4095
16.8	3.4387
20.1	3.4483
23.4	3.4557
26.8	3.4629
30.1	3.4697
33.5	3.4771
36.9	3.4849
40.2	3.4939
43.5	3.5038
46.9	3.515
50.3	3.5264
53.6	3.5385
57	3.5503
60.3	3.5618
63.6	3.5723
67	3.5832
70.3	3.594
73.7	3.6027
77	3.6101
80.4	3.6166
83.8	3.6228
87.1	3.629
90.5	3.6349
93.8	3.6405
97.2	3.6461
100.5	3.6517
103.8	3.6576
107.2	3.6638
110.5	3.6703
113.9	3.6768
117.3	3.6842
120.6	3.692
124	3.7003
127.3	3.7096
130.7	3.7196
134	3.7301
137.3	3.7416
140.7	3.7531
144.1	3.7658
147.4	3.7788
150.8	3.7921
154.1	3.8061
157.4	3.8203
160.8	3.8352
164.2	3.8498
167.5	3.865
170.8	3.8805
174.2	3.8963
177.6	3.9124
180.9	3.9291
184.3	3.9468
187.6	3.9642
190.9	3.9812
194.3	3.998
197.7	4.0147
201	4.0318
204.3	4.0485
207.7	4.0656
211.1	4.0829
214.4	4.099
215	4.099
0	4.0922
3.4	4.0628
6.7	4.0423
10.1	4.0234
13.4	4.0042
16.8	3.9856
20.1	3.9667
23.4	3.9481
26.8	3.9285
30.1	3.909
33.5	3.8901
36.9	3.8721
40.2	3.8554
43.5	3.8395
46.9	3.824
50.3	3.8092
53.6	3.7946
57	3.7803
60.3	3.7664
63.6	3.7524
67	3.7391
70.3	3.7264
73.7	3.714
77	3.7025
80.4	3.691
83.8	3.6808
87.1	3.6709
90.5	3.6616
93.8	3.6529
97.2	3.6445
100.5	3.6371
103.8	3.6297
107.2	3.6228
110.5	3.6163
113.9	3.6098
117.3	3.603
120.6	3.5965
124	3.59
127.3	3.5828
130.7	3.5757
134	3.5692
137.3	3.5618
140.7	3.554
144.1	3.5453
147.4	3.5367
150.8	3.5277
154.1	3.5177
157.4	3.506
160.8	3.4933
164.2	3.4802
167.5	3.4685
170.8	3.4576
174.2	3.4489
177.6	3.4418
180.9	3.4343
184.3	3.4263
187.6	3.4176
190.9	3.4074
194.3	3.3947
197.7	3.3764
201	3.3438
203.6	3.3038
204.3	3.2908
206.4	3.2505
207.7	3.2226
209.3	3.1826
210.7	3.1426
211.1	3.1327
212.2	3.0927
213.3	3.0527
214.2	3.0127
214.4	3.0022
214.4	3
0	3.013
0.2	3.053
0.8	3.093
1.6	3.133
2.5	3.173
3.4	3.2049
4.6	3.2449
6.2	3.2849
6.7	3.297
8.7	3.337
10.1	3.3609
12.7	3.4009
13.4	3.4092
16.8	3.4384
20.1	3.4483
23.4	3.4557
26.8	3.4626
30.1	3.4697
33.5	3.4768
36.9	3.4852
40.2	3.4939
43.5	3.5038
46.9	3.515
50.3	3.5264
53.6	3.5382
57	3.55
60.3	3.5618
63.6	3.5723
67	3.5832
70.3	3.594
73.7	3.6027
77	3.6101
80.4	3.617
83.8	3.6228
87.1	3.629
90.5	3.6349
93.8	3.6405
97.2	3.6461
100.5	3.652
103.8	3.6579
107.2	3.6641
110.5	3.6706
113.9	3.6771
117.3	3.6845
120.6	3.6923
124	3.701
127.3	3.7106
130.7	3.7202
134	3.7307
137.3	3.7422
140.7	3.754
144.1	3.7667
147.4	3.78
150.8	3.793
154.1	3.8073
157.4	3.8216
160.8	3.8361
164.2	3.851
167.5	3.8662
170.8	3.8817
174.2	3.8975
177.6	3.9136
180.9	3.9304
184.3	3.9481
187.6	3.9657
190.9	3.9828
194.3	3.9995
197.7	4.0166
201	4.0336
204.3	4.0504
207.7	4.0677
211.1	4.0851
214.3	4.099
214.6	4.099
0	4.0922
3.4	4.0625
6.7	4.0423
10.1	4.0231
13.4	4.0042
16.8	3.9856
20.1	3.9663
23.4	3.9474
26.8	3.9279
30.1	3.9084
33.5	3.8891
36.9	3.8715
40.2	3.855
43.5	3.8392
46.9	3.8237
50.3	3.8089
53.6	3.7943
57	3.7797
60.3	3.7661
63.6	3.7521
67	3.7391
70.3	3.7261
73.7	3.7137
77	3.7022
80.4	3.691
83.8	3.6805
87.1	3.6709
90.5	3.661
93.8	3.6526
97.2	3.6445
100.5	3.6368
103.8	3.6294
107.2	3.6225
110.5	3.6157
113.9	3.6092
117.3	3.6027
120.6	3.5962
124	3.5894
127.3	3.5825
130.7	3.5754
134	3.5683
137.3	3.5608
140.7	3.5531
144.1	3.545
147.4	3.5363
150.8	3.527
154.1	3.5168
157.4	3.505
160.8	3.4923
164.2	3.4793
167.5	3.4675
170.8	3.457
174.2	3.4486
177.6	3.4412
180.9	3.4337
184.3	3.426
187.6	3.417
190.9	3.4071
194.3	3.3944
197.7	3.3751
201	3.3401
203.5	3.3001
204.3	3.2855
206.4	3.2455
207.7	3.2158
209.3	3.1758
210.7	3.1358
211.1	3.1234
212.2	3.0834
213.2	3.0434
214.1	3.0034
214.1	3
0	3.0133
0.3	3.0533
0.8	3.0933
1.6	3.1336
2.5	3.1736
3.4	3.2046
4.6	3.2446
6.2	3.2846
6.7	3.2967
8.7	3.3367
10.1	3.3606
12.7	3.4006
13.4	3.4092
16.8	3.4387
20.1	3.4483
23.4	3.4557
26.8	3.4629
30.1	3.47
33.5	3.4771
36.9	3.4852
40.2	3.4939
43.5	3.5035
46.9	3.515
50.3	3.5264
53.6	3.5385
57	3.55
60.3	3.5618
63.6	3.5723
67	3.5828
70.3	3.5943
73.7	3.603
77	3.6101
80.4	3.617
83.8	3.6228
87.1	3.629
90.5	3.6349
93.8	3.6408
97.2	3.6464
100.5	3.6523
103.8	3.6582
107.2	3.6644
110.5	3.6709
