RBG_CYC_83755_Nw_c0_41V_40C_180416_Lowercutoff_100DOD_C5C5_0000_08_1 (269954 Points)
Capacity (mAh)	Voltage (V)
9.77	3.4099
10.1	3.4145
13.46	3.4468
16.83	3.4567
20.19	3.4644
23.56	3.4722
26.92	3.479
30.29	3.4861
33.65	3.4936
37.02	3.5022
40.38	3.5125
43.75	3.5236
47.11	3.5348
50.48	3.5466
53.84	3.5584
57.21	3.5692
60.57	3.5807
63.94	3.5915
67.3	3.6005
70.67	3.6086
74.03	3.6157
77.4	3.6219
80.76	3.6275
84.13	3.6331
87.49	3.638
90.86	3.643
94.22	3.648
97.59	3.6529
100.96	3.6585
104.32	3.6641
107.69	3.6697
111.05	3.6755
114.42	3.6821
117.78	3.6892
121.15	3.6966
124.51	3.7044
127.88	3.7134
131.24	3.723
134.61	3.7329
137.97	3.7444
141.34	3.7558
144.7	3.7682
148.07	3.7813
151.43	3.7949
154.8	3.8089
158.16	3.8234
161.53	3.8386
164.89	3.8535
168.26	3.8693
171.62	3.8848
174.99	3.9012
178.35	3.9167
181.72	3.9322
185.08	3.9474
188.45	3.9626
191.81	3.9781
195.18	3.9933
198.54	4.0088
201.91	4.0246
205.27	4.0401
208.64	4.0566
212	4.0724
215.37	4.0891
218.45	4.0981
220	4.0981
220.34	4.0978
0	4.0907
3.37	4.0609
6.73	4.042
10.1	4.0237
13.46	4.0063
16.83	3.9887
20.19	3.9716
23.56	3.9549
26.92	3.9378
30.29	3.9205
33.65	3.9034
37.02	3.8854
40.38	3.8671
43.75	3.8488
47.11	3.8312
50.48	3.8144
53.84	3.7989
57.21	3.7837
60.57	3.7692
63.94	3.7549
67.3	3.7416
70.67	3.7279
74.03	3.7152
77.4	3.7031
80.76	3.6917
84.13	3.6808
87.49	3.6703
90.86	3.6607
94.22	3.6517
97.59	3.6436
100.95	3.6359
104.32	3.6284
107.68	3.6216
111.05	3.6151
114.41	3.6089
117.78	3.603
121.14	3.5971
124.51	3.5912
127.87	3.5853
131.24	3.5794
134.6	3.5735
137.97	3.567
141.33	3.5602
144.7	3.5531
148.06	3.5456
151.43	3.5379
154.79	3.5295
158.16	3.5205
161.52	3.5106
164.89	3.4998
168.25	3.4883
171.62	3.4756
174.98	3.4629
178.35	3.4508
181.71	3.4393
185.08	3.4306
188.44	3.4216
191.81	3.412
195.17	3.4009
198.54	3.3882
201.9	3.3723
205.27	3.3522
208.63	3.3209
211.78	3.2707
212	3.2666
214.2	3.2164
215.36	3.1851
216.91	3.1349
218.2	3.0846
218.73	3.0608
219.71	3.0099
219.9	2.9997
0	3.0623
0.16	3.1141
0.63	3.1643
1.55	3.2149
2.96	3.2651
3.37	3.2762
5.35	3.3262
6.73	3.3544
9.7	3.4046
10.1	3.4099
13.46	3.4452
16.83	3.4561
20.19	3.4638
23.56	3.4712
26.92	3.4784
30.29	3.4855
33.65	3.4929
37.02	3.5016
40.38	3.5115
43.75	3.5221
47.11	3.5339
50.48	3.5453
53.84	3.5574
57.21	3.5686
60.57	3.5797
63.94	3.5909
67.3	3.5999
70.67	3.6083
74.03	3.6154
77.4	3.6216
80.76	3.6272
84.13	3.6328
87.49	3.6377
90.86	3.643
94.22	3.648
97.59	3.6529
100.95	3.6585
104.32	3.6638
107.68	3.6693
111.05	3.6755
114.41	3.6821
117.78	3.6892
121.14	3.6966
124.51	3.7047
127.87	3.7137
131.24	3.723
134.6	3.7335
137.97	3.7447
141.33	3.7565
144.7	3.7689
148.06	3.7819
151.43	3.7955
154.79	3.8095
158.16	3.824
161.52	3.8392
164.89	3.8541
168.25	3.8699
171.62	3.8854
174.98	3.9019
178.35	3.9177
181.71	3.9329
185.08	3.9484
188.45	3.9636
191.81	3.9787
195.18	3.9939
198.54	4.0097
201.91	4.0256
205.27	4.0417
208.64	4.0578
212	4.0739
215.38	4.0904
218.33	4.0981
219.78	4.0981
220.04	4.0981
0	4.091
3.37	4.0609
6.73	4.042
10.1	4.024
13.46	4.0063
16.83	3.989
20.19	3.9716
23.56	3.9546
26.92	3.9375
30.29	3.9202
33.65	3.9028
37.02	3.8848
40.38	3.8665
43.75	3.8482
47.11	3.8306
50.48	3.8141
53.84	3.7989
57.21	3.7837
60.57	3.7689
63.94	3.7546
67.3	3.7413
70.67	3.7279
74.03	3.7152
77.4	3.7028
80.76	3.6914
84.13	3.6805
87.49	3.6703
90.86	3.6607
94.22	3.6514
97.59	3.6433
100.95	3.6359
104.32	3.6281
107.68	3.6213
111.05	3.6151
114.41	3.6086
117.78	3.6027
121.14	3.5968
124.51	3.5909
127.87	3.585
131.24	3.5791
134.6	3.5732
137.97	3.5664
141.33	3.5599
144.7	3.5528
148.06	3.545
151.43	3.5373
154.79	3.5289
158.16	3.5199
161.52	3.51
164.89	3.4988
168.25	3.4867
171.62	3.4743
174.98	3.4616
178.35	3.4495
181.72	3.4387
185.08	3.4303
188.45	3.4216
191.81	3.412
195.18	3.4006
198.54	3.3878
201.91	3.3717
205.27	3.3506
208.64	3.3169
211.63	3.2669
212	3.2595
214.13	3.209
215.37	3.1749
216.88	3.1246
218.13	3.0744
218.73	3.0468
219.62	2.9997
0	3.0589
0.17	3.1094
0.66	3.1594
1.59	3.2096
3.01	3.2598
3.37	3.2703
5.31	3.3203
6.73	3.35
9.65	3.4002
10.1	3.4068
13.46	3.4437
16.83	3.4554
20.19	3.4635
23.56	3.4709
26.92	3.4781
30.29	3.4849
33.65	3.4926
37.02	3.501
40.38	3.5109
43.75	3.5215
47.11	3.5332
50.48	3.545
53.84	3.5568
57.21	3.568
60.57	3.5791
63.94	3.5903
67.31	3.5996
70.68	3.608
74.04	3.6151
77.41	3.6213
80.78	3.6269
84.14	3.6328
87.51	3.6377
90.87	3.6427
94.24	3.648
97.6	3.6529
100.97	3.6585
104.33	3.6641
107.7	3.6697
111.06	3.6755
114.43	3.6824
117.79	3.6892
121.16	3.6969
124.52	3.705
127.89	3.714
131.25	3.7236
134.62	3.7341
137.98	3.7453
141.35	3.7568
144.71	3.7695
148.08	3.7825
151.44	3.7961
154.81	3.8104
158.17	3.8247
161.54	3.8399
164.9	3.8547
168.27	3.8702
171.63	3.886
175	3.9025
178.36	3.9183
181.73	3.9338
185.1	3.9493
188.46	3.9645
191.83	3.98
195.19	3.9952
198.56	4.011
201.92	4.0268
205.29	4.0429
208.65	4.0593
212.02	4.0755
215.37	4.0919
218.22	4.0981
219.57	4.0981
219.72	4.0981
0	4.09
3.37	4.0612
6.73	4.0423
10.1	4.024
13.46	4.0063
16.83	3.9887
20.19	3.9713
23.56	3.9543
26.92	3.9372
30.29	3.9195
33.65	3.9022
37.02	3.8839
40.38	3.8656
43.75	3.8473
47.11	3.8299
50.48	3.8135
53.84	3.7983
57.21	3.7834
60.57	3.7689
63.94	3.7546
67.3	3.741
70.67	3.7276
74.03	3.7152
77.4	3.7028
80.76	3.691
84.13	3.6802
87.49	3.67
90.86	3.6604
94.22	3.6514
97.59	3.643
100.95	3.6352
104.32	3.6278
107.68	3.6213
111.05	3.6148
114.42	3.608
117.78	3.6024
121.15	3.5965
124.51	3.5909
127.88	3.5847
131.24	3.5788
134.61	3.5726
137.97	3.5661
141.34	3.5593
144.7	3.5522
148.07	3.5444
151.43	3.5367
154.8	3.5286
158.16	3.519
161.53	3.5091
164.89	3.4979
168.26	3.4852
171.62	3.4728
174.99	3.4604
178.35	3.4486
181.72	3.4381
185.08	3.43
188.45	3.4213
191.81	3.4117
195.18	3.4006
198.54	3.3872
201.91	3.3708
205.27	3.3485
208.64	3.3125
211.51	3.2623
212	3.2517
214.07	3.2015
215.37	3.1643
216.84	3.1138
218.06	3.0636
218.73	3.0319
219.32	2.9994
0	3.0555
0.2	3.1063
0.73	3.1566
1.71	3.2068
3.11	3.257
3.37	3.2648
5.27	3.315
6.73	3.346
9.58	3.3962
10.1	3.4037
13.46	3.4427
16.83	3.4551
20.19	3.4632
23.56	3.4709
26.92	3.4778
30.29	3.4846
33.65	3.4923
37.02	3.501
40.38	3.5103
43.75	3.5212
47.11	3.5326
50.48	3.5444
53.84	3.5565
57.21	3.5673
60.57	3.5788
63.94	3.59
67.3	3.5993
70.67	3.6077
74.03	3.6151
77.4	3.6213
80.76	3.6272
84.13	3.6328
87.5	3.6377
90.86	3.6427
94.23	3.648
97.59	3.6529
100.96	3.6585
104.32	3.6638
107.69	3.6697
111.06	3.6759
114.43	3.6827
117.79	3.6895
121.16	3.6969
124.52	3.7053
127.89	3.7143
131.25	3.7239
134.62	3.7344
137.97	3.7456
141.34	3.7574
144.7	3.7701
148.07	3.7831
151.43	3.7968
154.8	3.811
158.16	3.8256
161.53	3.8405
164.9	3.8554
168.26	3.8712
171.63	3.8867
174.99	3.9031
178.36	3.9189
181.72	3.9347
185.09	3.9502
188.45	3.9654
191.82	3.9809
195.18	3.9964
198.55	4.0119
201.91	4.028
205.28	4.0438
208.64	4.0603
212.01	4.0767
215.37	4.0931
218.09	4.0981
219.38	4.0981
219.48	4.0981
0	4.0913
3.37	4.0612
6.73	4.0423
10.1	4.024
13.46	4.0063
16.83	3.9887
20.19	3.9713
23.56	3.9543
26.92	3.9369
30.29	3.9192
33.65	3.9012
37.02	3.8833
40.38	3.865
43.75	3.8467
47.11	3.8296
50.48	3.8132
53.84	3.7983
57.21	3.7831
60.57	3.7686
63.94	3.7543
67.3	3.741
70.67	3.7276
74.03	3.7149
77.4	3.7025
80.76	3.691
84.13	3.6802
87.5	3.6697
90.86	3.66
94.23	3.6511
97.59	3.643
100.96	3.6352
104.32	3.6275
107.69	3.6207
111.05	3.6145
114.42	3.6083
117.78	3.6021
121.15	3.5962
124.51	3.5906
127.88	3.5844
131.24	3.5785
134.61	3.5723
137.97	3.5655
141.34	3.559
144.7	3.5518
148.07	3.5441
151.43	3.5363
154.8	3.5277
158.16	3.5187
161.53	3.5084
164.89	3.4967
168.26	3.4843
171.62	3.4719
174.99	3.4595
178.35	3.4477
181.72	3.4378
185.08	3.4297
188.45	3.421
191.82	3.4117
195.18	3.3999
198.55	3.3869
201.91	3.3702
205.28	3.3469
208.64	3.3085
211.4	3.2583
212.01	3.2452
214.03	3.195
215.37	3.156
216.77	3.106
217.97	3.0555
218.74	3.0183
219.06	2.9997
0	3.0533
0.22	3.1042
0.79	3.1544
1.77	3.2046
3.17	3.2548
3.37	3.2604
5.25	3.3107
6.73	3.3429
9.52	3.3931
10.1	3.4015
13.46	3.4418
16.83	3.4548
20.19	3.4629
23.56	3.4703
26.92	3.4778
30.29	3.4846
33.65	3.492
37.02	3.5007
40.38	3.5103
43.75	3.5208
47.11	3.5323
50.48	3.5438
53.84	3.5562
57.21	3.5673
60.57	3.5785
63.94	3.5897
67.3	3.5993
70.67	3.6077
74.03	3.6151
77.4	3.6213
80.77	3.6272
84.13	3.6325
87.5	3.6377
90.86	3.643
94.23	3.648
97.59	3.6532
100.96	3.6585
104.32	3.6641
107.69	3.6697
111.05	3.6759
114.42	3.6827
117.78	3.6895
121.15	3.6972
124.51	3.7056
127.88	3.7149
131.24	3.7245
134.61	3.7351
137.97	3.7462
141.34	3.758
144.7	3.7707
148.07	3.7837
151.43	3.7977
154.8	3.8116
158.16	3.8262
161.53	3.8411
164.9	3.8563
168.26	3.8718
171.63	3.8873
174.99	3.9037
178.36	3.9202
181.72	3.9357
185.09	3.9512
