RBG_CYC_83755_Nw_c0_41V_40C_180416_Lowercutoff_100DOD_C5C5_0000_08_1 (269954 Points)
Cycle Number	Capacity (mAh)
3	161.53
3	164.89
3	168.26
3	171.62
3	174.99
3	178.35
3	181.72
3	185.08
3	188.45
3	191.81
3	195.18
3	198.54
3	201.91
3	205.27
3	208.64
3	211.99
3	212
3	214.3
3	215.37
3	216.97
3	218.28
3	218.73
3	219.74
3	220.25
4	0
4	0.13
4	0.56
4	1.45
4	2.85
4	3.37
4	5.43
4	6.73
4	9.77
4	10.1
4	13.46
4	16.83
4	20.19
4	23.56
4	26.92
4	30.29
4	33.65
4	37.02
4	40.38
4	43.75
4	47.11
4	50.48
4	53.84
4	57.21
4	60.57
4	63.94
4	67.3
4	70.67
4	74.03
4	77.4
4	80.76
4	84.13
4	87.49
4	90.86
4	94.22
4	97.59
4	100.96
4	104.32
4	107.69
4	111.05
4	114.42
4	117.78
4	121.15
4	124.51
4	127.88
4	131.24
4	134.61
4	137.97
4	141.34
4	144.7
4	148.07
4	151.43
4	154.8
4	158.16
4	161.53
4	164.89
4	168.26
4	171.62
4	174.99
4	178.35
4	181.72
4	185.08
4	188.45
4	191.81
4	195.18
4	198.54
4	201.91
4	205.27
4	208.64
4	212
4	215.37
4	218.45
4	220
4	220.34
4	0
4	3.37
4	6.73
4	10.1
4	13.46
4	16.83
4	20.19
4	23.56
4	26.92
4	30.29
4	33.65
4	37.02
4	40.38
4	43.75
4	47.11
4	50.48
4	53.84
4	57.21
4	60.57
4	63.94
4	67.3
4	70.67
4	74.03
4	77.4
4	80.76
4	84.13
4	87.49
4	90.86
4	94.22
4	97.59
4	100.95
4	104.32
4	107.68
4	111.05
4	114.41
4	117.78
4	121.14
4	124.51
4	127.87
4	131.24
4	134.6
4	137.97
4	141.33
4	144.7
4	148.06
4	151.43
4	154.79
4	158.16
4	161.52
4	164.89
4	168.25
4	171.62
4	174.98
4	178.35
4	181.71
4	185.08
4	188.44
4	191.81
4	195.17
4	198.54
4	201.9
4	205.27
4	208.63
4	211.78
4	212
4	214.2
4	215.36
4	216.91
4	218.2
4	218.73
4	219.71
4	219.9
5	0
5	0.16
5	0.63
5	1.55
5	2.96
5	3.37
5	5.35
5	6.73
5	9.7
5	10.1
5	13.46
5	16.83
5	20.19
5	23.56
5	26.92
5	30.29
5	33.65
5	37.02
5	40.38
5	43.75
5	47.11
5	50.48
5	53.84
5	57.21
5	60.57
5	63.94
5	67.3
5	70.67
5	74.03
5	77.4
5	80.76
5	84.13
5	87.49
5	90.86
5	94.22
5	97.59
5	100.95
5	104.32
5	107.68
5	111.05
5	114.41
5	117.78
5	121.14
5	124.51
5	127.87
5	131.24
5	134.6
5	137.97
5	141.33
5	144.7
5	148.06
5	151.43
5	154.79
5	158.16
5	161.52
5	164.89
5	168.25
5	171.62
5	174.98
5	178.35
5	181.71
5	185.08
5	188.45
5	191.81
5	195.18
5	198.54
5	201.91
5	205.27
5	208.64
5	212
5	215.38
5	218.33
5	219.78
5	220.04
5	0
5	3.37
5	6.73
5	10.1
5	13.46
5	16.83
5	20.19
5	23.56
5	26.92
5	30.29
5	33.65
5	37.02
5	40.38
5	43.75
5	47.11
5	50.48
5	53.84
5	57.21
5	60.57
5	63.94
5	67.3
5	70.67
5	74.03
5	77.4
5	80.76
5	84.13
5	87.49
5	90.86
5	94.22
5	97.59
5	100.95
5	104.32
5	107.68
5	111.05
5	114.41
5	117.78
5	121.14
5	124.51
5	127.87
5	131.24
5	134.6
5	137.97
5	141.33
5	144.7
5	148.06
5	151.43
5	154.79
5	158.16
5	161.52
5	164.89
5	168.25
5	171.62
5	174.98
5	178.35
5	181.72
5	185.08
5	188.45
5	191.81
5	195.18
5	198.54
5	201.91
5	205.27
5	208.64
5	211.63
5	212
5	214.13
5	215.37
5	216.88
5	218.13
5	218.73
5	219.62
6	0
6	0.17
6	0.66
6	1.59
6	3.01
6	3.37
6	5.31
6	6.73
6	9.65
6	10.1
6	13.46
6	16.83
6	20.19
6	23.56
6	26.92
6	30.29
6	33.65
6	37.02
6	40.38
6	43.75
6	47.11
6	50.48
6	53.84
6	57.21
6	60.57
6	63.94
6	67.31
6	70.68
6	74.04
6	77.41
6	80.78
6	84.14
6	87.51
6	90.87
6	94.24
6	97.6
6	100.97
6	104.33
6	107.7
6	111.06
6	114.43
6	117.79
6	121.16
6	124.52
6	127.89
6	131.25
6	134.62
6	137.98
6	141.35
6	144.71
6	148.08
6	151.44
6	154.81
6	158.17
6	161.54
6	164.9
6	168.27
6	171.63
6	175
6	178.36
6	181.73
6	185.1
6	188.46
6	191.83
6	195.19
6	198.56
6	201.92
6	205.29
6	208.65
6	212.02
6	215.37
6	218.22
6	219.57
6	219.72
6	0
6	3.37
6	6.73
6	10.1
6	13.46
6	16.83
6	20.19
6	23.56
6	26.92
6	30.29
6	33.65
6	37.02
6	40.38
6	43.75
6	47.11
6	50.48
6	53.84
6	57.21
6	60.57
6	63.94
6	67.3
6	70.67
6	74.03
6	77.4
6	80.76
6	84.13
6	87.49
6	90.86
6	94.22
6	97.59
6	100.95
6	104.32
6	107.68
6	111.05
6	114.42
6	117.78
6	121.15
6	124.51
6	127.88
6	131.24
6	134.61
6	137.97
6	141.34
6	144.7
6	148.07
6	151.43
6	154.8
6	158.16
6	161.53
6	164.89
6	168.26
6	171.62
6	174.99
6	178.35
6	181.72
6	185.08
6	188.45
6	191.81
6	195.18
6	198.54
6	201.91
6	205.27
6	208.64
6	211.51
6	212
6	214.07
6	215.37
6	216.84
6	218.06
6	218.73
6	219.32
7	0
7	0.2
7	0.73
7	1.71
7	3.11
7	3.37
7	5.27
7	6.73
7	9.58
7	10.1
7	13.46
7	16.83
7	20.19
7	23.56
7	26.92
7	30.29
7	33.65
7	37.02
7	40.38
7	43.75
7	47.11
7	50.48
7	53.84
7	57.21
7	60.57
7	63.94
7	67.3
7	70.67
7	74.03
7	77.4
7	80.76
7	84.13
7	87.5
7	90.86
7	94.23
7	97.59
7	100.96
7	104.32
7	107.69
7	111.06
7	114.43
7	117.79
7	121.16
7	124.52
7	127.89
7	131.25
7	134.62
7	137.97
7	141.34
7	144.7
7	148.07
7	151.43
7	154.8
7	158.16
7	161.53
7	164.9
7	168.26
7	171.63
7	174.99
7	178.36
7	181.72
7	185.09
7	188.45
7	191.82
7	195.18
7	198.55
7	201.91
7	205.28
7	208.64
7	212.01
7	215.37
7	218.09
7	219.38
7	219.48
7	0
7	3.37
7	6.73
7	10.1
7	13.46
7	16.83
7	20.19
7	23.56
7	26.92
7	30.29
7	33.65
7	37.02
7	40.38
7	43.75
7	47.11
7	50.48
7	53.84
7	57.21
7	60.57
7	63.94
7	67.3
7	70.67
7	74.03
7	77.4
7	80.76
7	84.13
7	87.5
7	90.86
7	94.23
7	97.59
7	100.96
7	104.32
7	107.69
7	111.05
7	114.42
7	117.78
7	121.15
7	124.51
7	127.88
7	131.24
7	134.61
7	137.97
7	141.34
7	144.7
7	148.07
7	151.43
7	154.8
7	158.16
7	161.53
7	164.89
7	168.26
7	171.62
7	174.99
7	178.35
7	181.72
7	185.08
7	188.45
7	191.82
7	195.18
7	198.55
7	201.91
7	205.28
7	208.64
7	211.4
7	212.01
7	214.03
7	215.37
7	216.77
7	217.97
7	218.74
7	219.06
8	0
8	0.22
8	0.79
8	1.77
8	3.17
8	3.37
8	5.25
8	6.73
8	9.52
8	10.1
8	13.46
8	16.83
8	20.19
8	23.56
8	26.92
8	30.29
8	33.65
8	37.02
8	40.38
8	43.75
8	47.11
8	50.48
8	53.84
8	57.21
8	60.57
8	63.94
8	67.3
8	70.67
8	74.03
8	77.4
8	80.77
8	84.13
8	87.5
8	90.86
8	94.23
8	97.59
8	100.96
8	104.32
8	107.69
8	111.05
8	114.42
8	117.78
8	121.15
8	124.51
8	127.88
8	131.24
8	134.61
8	137.97
8	141.34
8	144.7
8	148.07
8	151.43
8	154.8
8	158.16
8	161.53
8	164.9
8	168.26
8	171.63
8	174.99
8	178.36
8	181.72
8	185.09
8	188.45
8	191.82
8	195.18
8	198.55
8	201.91
8	205.28
8	208.64
8	212.01
8	215.37
8	217.96
8	219.17
8	219.19
8	0
8	3.37
8	6.73
8	10.1
8	13.46
8	16.83
8	20.19
8	23.56
8	26.92
8	30.29
8	33.65
8	37.02
8	40.38
8	43.75
8	47.11
8	50.48
8	53.84
8	57.21
8	60.57
8	63.94
8	67.3
8	70.67
8	74.03
8	77.4
8	80.76
8	84.13
8	87.49
8	90.86
8	94.22
8	97.59
8	100.96
8	104.32
8	107.69
8	111.05
8	114.42
8	117.78
8	121.15
8	124.51
8	127.88
8	131.24
8	134.61
8	137.97
8	141.34
8	144.7
8	148.07
8	151.43
8	154.8
8	158.16
8	161.53
8	164.89
8	168.26
8	171.62
8	174.99
8	178.35
8	181.72
8	185.08
8	188.45
8	191.81
8	195.18
8	198.54
8	201.91
8	205.28
8	208.64
8	211.3
8	212.01
8	213.97
8	215.37
8	216.75
8	217.92
8	218.74
8	218.84
9	0
9	0.22
9	0.81
9	1.79
9	3.2
9	3.37
9	5.22
9	6.73
9	9.52
9	10.1
9	13.46
9	16.83
9	20.19
9	23.56
9	26.92
9	30.29
9	33.65
9	37.02
9	40.38
9	43.75
9	47.11
9	50.48
9	53.84
9	57.21
9	60.57
9	63.94
9	67.3
9	70.67
9	74.03
9	77.4
9	80.76
9	84.13
9	87.5
9	90.86
9	94.23
9	97.59
9	100.96
9	104.32
9	107.69
9	111.05
9	114.42
9	117.78
9	121.15
9	124.51
9	127.88
9	131.24
9	134.61
9	137.97
9	141.34
9	144.7
9	148.07
9	151.43
9	154.8
9	158.16
9	161.53
9	164.89
9	168.26
9	171.63
9	174.99
9	178.36
9	181.72
9	185.09
9	188.45
9	191.82
9	195.18
9	198.55
9	201.91
9	205.28
9	208.64
9	212.01
9	215.37
9	217.84
9	218.9
9	0
9	3.37
9	6.73
9	10.1
9	13.46
9	16.83
9	20.19
9	23.56
9	26.92
9	30.29
9	33.65
9	37.02
9	40.38
9	43.75
9	47.11
9	50.48
9	53.84
9	57.21
9	60.57
9	63.94
9	67.3
9	70.67
9	74.03
9	77.4
9	80.77
9	84.13
9	87.5
9	90.86
9	94.23
9	97.59
9	100.96
9	104.32
9	107.69
9	111.05
9	114.42
9	117.78
9	121.15
9	124.51
9	127.88
9	131.24
9	134.61
9	137.97
9	141.34
9	144.7
9	148.07
9	151.44
9	154.8
9	158.17
9	161.53
9	164.9
9	168.26
9	171.63
9	174.99
9	178.36
9	181.72
9	185.09
9	188.45
9	191.82
9	195.18
9	198.55
9	201.91
9	205.28
9	208.64
9	211.21
9	212.01
9	213.93
9	215.37
9	216.7
9	217.84
9	218.56
10	0
10	0.25
10	0.84
10	1.85
10	3.25
10	3.37
10	5.21
10	6.73
10	9.46
10	10.1
10	13.46
10	16.83
10	20.19
10	23.56
10	26.92
10	30.29
10	33.65
10	37.02
10	40.38
10	43.75
10	47.11
10	50.48
10	53.84
10	57.21
10	60.57
10	63.94
10	67.3
10	70.67
10	74.04
10	77.4
10	80.77
10	84.13
10	87.5
10	90.86
10	94.23
10	97.59
10	100.96
10	104.32
10	107.69
10	111.05
10	114.42
10	117.78
10	121.15
10	124.51
10	128.94
10	131.26
10	134.62
10	137.99
10	141.35
10	144.72
10	148.07
10	151.44
10	154.8
10	158.17
10	161.53
10	164.9
10	168.26
10	171.63
10	174.99
10	178.36
10	181.72
10	185.09
10	188.45
10	191.82
10	195.18
10	198.55
10	201.91
10	205.28
10	208.65
10	212.01
10	215.38
10	217.72
10	218.67
10	0
10	3.37
10	6.73
10	10.1
10	13.46
10	16.83
10	20.19
10	23.56
10	26.92
10	30.29
10	33.65
10	37.02
10	40.38
10	43.75
10	47.11
10	50.48
10	53.84
10	57.21
10	60.57
10	63.94
10	67.3
10	70.67
10	74.04
10	77.4
10	80.77
10	84.13
10	87.5
10	90.86
10	94.23
10	97.59
10	100.96
10	104.32
10	107.69
10	111.05
10	114.42
10	117.78
10	121.15
10	124.51
10	127.88
10	131.25
10	134.61
10	137.98
10	141.34
10	144.71
10	148.07
10	151.44
10	154.8
10	158.17
10	161.53
10	164.9
10	168.26
10	171.63
10	174.99
10	178.36
10	181.72
10	185.09
10	188.45
10	191.82
10	195.18
10	198.55
10	201.92
10	205.28
10	208.65
10	211.17
10	212.01
10	213.88
10	215.38
10	216.68
10	217.77
10	218.27
11	0
11	0.26
11	0.87
11	1.88
11	3.28
11	3.37
11	5.16
11	6.73
11	9.43
11	10.1
11	13.46
11	16.83
11	20.19
11	23.56
11	26.92
11	30.29
11	33.65
11	37.02
11	40.38
11	43.75
11	47.11
11	50.48
11	53.84
11	57.21
11	60.57
11	63.94
11	67.31
11	70.67
11	74.04
11	77.4
11	80.77
11	84.13
11	87.5
11	90.86
11	94.23
11	97.59
11	100.96
11	104.32
11	107.69
11	111.05
11	114.42
11	117.78
11	121.15
11	124.51
11	127.88
11	131.25
11	134.61
11	137.98
11	141.34
11	144.71
11	148.07
11	151.44
11	154.8
11	158.17
11	161.53
11	164.9
11	168.26
11	171.63
11	174.99
11	178.36
11	181.72
11	185.09
11	188.45
11	191.82
11	195.19
11	198.55
11	201.92
11	205.28
11	208.65
11	212.01
11	215.38
11	217.57
11	218.41
11	0
11	3.37
11	6.73
11	10.1
11	13.46
11	16.83
11	20.19
11	23.56
11	26.92
11	30.29
11	33.65
11	37.02
11	40.38
11	43.75
11	47.11
11	50.48
11	53.84
11	57.21
11	60.57
11	63.94
11	67.3
11	70.67
11	74.04
11	77.4
11	80.77
11	84.13
11	87.5
11	90.86
11	94.23
11	97.59
11	100.96
11	104.32
11	107.69
11	111.05
11	114.42
11	117.78
11	121.15
11	124.51
11	127.88
11	131.25
11	134.61
11	137.98
11	141.34
11	144.71
11	148.07
11	151.44
11	154.8
11	158.17
11	161.53
11	164.9
11	168.26
11	171.63
11	174.99
11	178.36
11	181.72
11	185.09
11	188.45
11	191.82
11	195.18
11	198.55
11	201.92
11	205.28
11	208.65
11	211.1
11	212.01
11	213.86
11	215.38
11	216.64
11	217.72
11	218.07
12	0
12	0.27
12	0.91
12	1.93
12	3.31
12	3.37
12	5.15
12	6.73
12	9.41
12	10.1
12	13.46
12	16.83
12	20.19
12	23.56
12	26.92
12	30.29
12	33.65
12	37.02
12	40.38
12	43.75
12	47.11
12	50.48
12	53.84
12	57.21
12	60.57
12	63.94
12	67.31
12	70.67
12	74.04
12	77.4
12	80.77
12	84.13
12	87.5
12	90.86
12	94.23
12	97.59
12	100.96
12	104.32
12	107.69
12	111.05
12	114.42
12	117.78
12	121.15
12	124.51
12	127.88
12	131.25
12	134.61
12	137.98
12	141.34
12	144.71
12	148.07
12	151.44
12	154.8
12	158.17
12	161.53
12	164.9
12	168.26
12	171.63
12	174.99
12	178.36
12	181.72
12	185.09
12	188.45
12	191.82
12	195.18
12	198.55
12	201.92
12	205.28
12	208.65
12	212.01
12	215.37
12	217.43
12	218.18
12	0
12	3.37
12	6.73
12	10.1
12	13.46
12	16.83
12	20.19
12	23.56
12	26.92
12	30.29
12	33.65
12	37.02
12	40.38
12	43.75
12	47.11
12	50.48
12	53.84
12	57.21
12	60.57
12	63.94
12	67.3
12	70.67
12	74.03
12	77.4
12	80.76
12	84.13
12	87.5
12	90.86
12	94.23
12	97.59
12	100.96
12	104.32
12	107.69
12	111.05
12	114.42
12	117.78
12	121.15
12	124.51
12	127.88
12	131.24
12	134.61
12	137.97
12	141.34
12	144.7
12	148.07
12	151.44
12	154.8
12	158.17
12	161.53
12	164.9
12	168.26
12	171.63
12	174.99
12	178.36
12	181.72
12	185.09
12	188.45
12	191.82
12	195.18
12	198.55
12	201.91
12	205.28
12	208.65
12	211.06
12	212.01
12	213.82
12	215.32
12	215.38
12	216.62
12	217.66
12	217.85
13	0
13	0.3
13	0.95
13	1.99
13	3.37
13	5.13
13	6.73
13	9.38
13	10.1
13	13.46
13	16.83
13	20.19
13	23.56
13	26.92
13	30.29
13	33.65
13	37.02
13	40.38
13	43.75
13	47.11
13	50.48
13	53.84
13	57.21
13	60.57
13	63.94
13	67.31
13	70.67
13	74.04
13	77.4
13	80.77
13	84.13
13	87.5
13	90.86
13	94.23
13	97.59
13	100.96
13	104.32
13	107.69
13	111.05
13	114.42
13	117.78
13	121.15
13	124.51
13	127.88
13	131.24
13	134.61
13	137.98
13	141.34
13	144.71
13	148.07
13	151.44
13	154.8
13	158.17
13	161.53
13	164.9
13	168.26
13	171.63
13	174.99
13	178.36
13	181.72
13	185.09
13	188.46
13	191.82
13	195.19
13	198.55
13	201.92
13	205.28
13	208.65
13	212.01
13	215.35
13	217.3
13	217.93
13	0
13	3.37
13	6.73
13	10.1
13	13.46
13	16.83
13	20.19
13	23.56
13	26.92
13	30.29
13	33.65
13	37.02
13	40.38
13	43.75
13	47.11
13	50.48
13	53.84
13	57.21
13	60.57
13	63.94
13	67.31
13	70.67
13	74.04
13	77.4
13	80.77
13	84.13
13	87.5
13	90.86
13	94.23
13	97.59
13	100.96
13	104.32
13	107.69
13	111.06
13	114.42
13	117.79
13	121.15
13	124.52
13	127.88
13	131.25
13	134.61
13	137.98
13	141.34
13	144.71
13	148.07
13	151.44
13	154.8
13	158.17
13	161.54
13	164.9
13	168.27
13	171.63
13	175
13	178.36
13	181.73
13	185.09
13	188.46
13	191.82
13	195.19
13	198.55
13	201.92
13	205.29
13	208.55
13	208.65
13	211
13	212.02
13	213.79
13	215.25
13	215.38
13	216.58
13	217.59
13	217.62
14	0
14	0.3
14	0.94
14	1.97
14	3.35
14	3.37
14	5.1
14	6.73
14	9.37
14	10.1
14	13.46
14	16.83
14	20.19
14	23.56
14	26.92
14	30.29
14	33.65
14	37.02
14	40.38
14	43.75
14	47.11
14	50.48
14	53.84
14	57.21
14	60.58
14	63.94
14	67.31
14	70.67
14	74.04
14	77.4
14	80.77
14	84.13
14	87.5
14	90.86
14	94.23
14	97.59
14	100.96
14	104.95
14	107.69
14	111.05
14	114.42
14	117.79
14	121.15
14	124.52
14	127.88
14	131.25
14	134.61
14	137.98
14	141.34
14	144.71
14	148.07
14	151.44
14	154.8
14	158.17
14	161.53
14	164.9
14	168.26
14	171.63
14	175
14	178.36
14	181.73
14	185.09
14	188.46
14	191.82
14	195.19
14	198.55
14	201.92
14	205.28
14	208.65
14	212.01
14	215.3
14	217.12
14	217.67
14	0
14	3.37
14	6.73
14	10.1
14	13.46
14	16.83
14	20.19
14	23.56
14	26.92
14	30.29
14	33.65
14	37.02
14	40.38
14	43.75
14	47.11
14	50.48
14	53.84
14	57.21
14	60.58
14	63.94
14	67.31
14	70.67
14	74.04
14	77.4
14	80.77
14	84.13
14	87.5
14	90.86
14	94.23
14	97.59
14	100.96
14	104.32
14	107.69
14	111.05
14	114.42
14	117.79
14	121.15
14	124.52
14	127.88
14	131.25
14	134.61
14	137.98
14	141.34
14	144.71
14	148.07
14	151.44
14	154.8
14	158.17
14	161.53
14	164.9
14	168.26
14	171.63
14	174.99
14	178.36
14	181.72
14	185.09
14	188.46
14	191.82
14	195.19
14	198.55
14	201.92
14	205.28
14	208.47
14	208.65
14	210.97
14	212.01
14	213.73
14	215.19
14	215.38
14	216.53
14	217.42
15	0
15	0.3
15	0.98
15	2
15	3.37
15	5.09
15	6.73
15	9.32
15	10.1
15	13.46
15	16.83
15	20.19
15	23.56
15	26.92
15	30.29
15	33.65
15	37.02
15	40.38
15	43.75
15	47.11
15	50.48
15	53.84
15	57.21
15	60.57
15	63.94
15	67.3
15	70.67
15	74.04
15	77.4
15	80.77
15	84.13
15	87.5
15	90.86
15	94.23
15	97.59
15	100.96
15	104.32
15	107.69
15	111.05
15	114.42
15	117.78
15	121.15
15	124.51
15	127.88
15	131.25
15	134.61
15	137.98
15	141.34
15	144.71
15	148.07
15	151.44
15	154.8
15	158.17
15	161.53
15	164.9
15	168.26
15	171.63
15	174.99
15	178.36
15	181.72
15	185.09
15	188.46
15	191.82
15	195.19
15	198.55
15	201.92
15	205.28
15	208.65
15	212.01
15	215.27
15	217.01
15	217.49
15	0
15	3.37
15	6.73
15	10.1
15	13.46
15	16.83
15	20.19
15	23.56
15	26.92
15	30.29
15	33.65
15	37.02
15	40.38
15	43.75
15	47.11
15	50.48
15	53.85
15	57.21
15	60.58
15	63.94
15	67.31
15	70.67
15	74.04
15	77.4
15	80.77
15	84.13
15	87.5
15	90.86
15	94.23
15	97.59
15	100.96
15	104.32
15	107.69
15	111.06
15	114.42
15	117.79
15	121.15
15	124.52
15	127.88
15	131.25
15	134.61
15	137.98
15	141.34
15	144.71
15	148.07
15	151.44
15	154.8
15	158.17
15	161.53
15	164.9
15	168.26
15	171.63
15	175
15	178.36
15	181.73
15	185.09
15	188.46
15	191.82
15	195.19
15	198.55
15	201.92
15	205.28
15	208.38
15	208.65
15	210.93
15	212.01
15	213.71
15	215.13
15	215.38
15	216.52
15	217.22
16	0
16	0.31
16	0.99
16	2.03
16	3.37
16	5.08
16	6.73
16	9.34
16	10.1
16	13.46
16	16.83
16	20.19
16	23.56
16	26.92
16	30.29
16	33.65
16	37.02
16	40.38
16	43.75
16	47.11
16	50.48
16	53.85
16	57.21
16	60.58
16	63.94
16	67.31
16	70.67
16	74.04
16	77.4
16	80.77
16	84.13
16	87.5
16	90.86
16	94.23
16	97.59
16	100.96
16	104.32
16	107.69
16	111.06
16	114.42
16	117.79
16	121.15
16	124.52
16	127.88
16	131.25
16	134.61
16	137.98
16	141.34
16	144.71
16	148.07
16	151.44
16	154.8
16	158.17
16	161.53
16	164.9
16	168.27
16	171.63
16	175
16	178.36
16	181.73
16	185.09
16	188.46
16	191.82
16	195.19
16	198.55
16	201.92
16	205.28
16	208.65
16	212.01
16	215.22
16	216.89
16	217.31
16	0
16	3.37
16	6.73
16	10.1
16	13.46
16	16.83
16	20.19
16	23.56
16	26.92
16	30.29
16	33.65
16	37.02
16	40.38
16	43.75
16	47.11
16	50.48
16	53.84
16	57.21
16	60.58
16	63.94
16	67.31
16	70.67
16	74.04
16	77.4
16	80.77
16	84.13
16	87.5
16	90.86
16	94.23
16	97.59
16	100.96
16	104.32
16	107.7
16	111.06
16	114.43
16	117.8
16	121.15
16	124.51
16	127.88
16	131.25
16	134.61
16	137.98
16	141.34
16	144.71
16	148.07
16	151.44
16	154.8
16	158.17
16	161.53
16	164.9
16	168.26
16	171.63
16	174.99
16	178.36
16	181.72
16	185.09
16	188.45
16	191.82
16	195.18
16	198.55
16	201.92
16	205.28
16	208.29
16	208.65
16	210.9
16	212.01
16	213.68
16	215.07
16	215.38
16	216.49
16	217.04
17	0
17	0.34
17	1.04
17	2.09
17	3.37
17	5.07
17	6.73
17	9.31
17	10.1
17	13.46
17	16.83
17	20.19
17	23.56
17	26.92
17	30.29
17	33.65
17	37.02
17	40.38
17	43.75
17	47.11
17	50.48
17	53.84
17	57.21
17	60.58
17	63.94
17	67.31
17	70.67
17	74.04
17	77.4
17	80.77
17	84.13
17	87.5
17	90.86
17	94.23
17	97.59
17	100.96
17	104.32
17	107.69
17	111.05
17	114.42
17	117.78
17	121.15
17	124.51
17	127.88
17	131.25
17	134.61
17	137.98
17	141.34
17	144.71
17	148.07
17	151.44
17	154.8
17	158.17
17	161.53
17	164.9
17	168.26
17	171.63
17	174.99
17	178.36
17	181.72
17	185.09
17	188.45
17	191.82
17	195.18
17	198.55
17	201.92
17	205.28
17	208.65
17	212.01
17	215.17
17	216.78
17	217.12
17	0
17	3.37
17	6.73
17	10.1
17	13.46
17	16.83
17	20.19
17	23.56
17	26.92
17	30.29
17	33.65
17	37.02
17	40.38
17	43.75
17	47.11
17	50.48
17	53.84
17	57.21
17	60.58
17	63.94
17	67.31
17	70.67
17	74.04
17	77.4
17	80.77
17	84.13
17	87.5
17	90.86
17	94.23
17	97.59
17	100.96
17	104.32
17	107.69
17	111.05
