RBG_CYC_66824_Nw_c0_41V_40C_C10C10_170627_622BNG_VC211_100DOD_127 (155722 Points)
Time (s)	Current (mAh)
222134	20.1
222734	20.1
223334	20.1
223934	20.1
224535	20.1
224832	10.1
224832	-20.1
225432	-20.1
226032	-20.1
226632	-20.1
227232	-20.1
227832	-20.1
228432	-20.1
229032	-20.1
229632	-20.1
230232	-20.1
230832	-20.1
231432	-20.1
232032	-20.1
232632	-20.1
233232	-20.1
233832	-20.1
234432	-20.1
235032	-20.1
235632	-20.1
236232	-20.1
236832	-20.1
237432	-20.1
238032	-20.1
238632	-20.1
239232	-20.1
239832	-20.1
240432	-20.1
241032	-20.1
241632	-20.1
242232	-20.1
242832	-20.1
243432	-20.1
244032	-20.1
244632	-20.1
245232	-20.1
245832	-20.1
246432	-20.1
247032	-20.1
247632	-20.1
248232	-20.1
248832	-20.1
249432	-20.1
250032	-20.1
250632	-20.1
251232	-20.1
251832	-20.1
252432	-20.1
253032	-20.1
253632	-20.1
254232	-20.1
254832	-20.1
255432	-20.1
256032	-20.1
256632	-20.1
257232	-20.1
257832	-20.1
258432	-20.1
259032	-20.1
259632	-20.1
260232	-20.1
260832	-20.1
261331	-20.1
261432	-20.1
261816	-20.1
262032	-20.1
262337	-20.1
262604	-20.1
262632	-20.1
262860	-20.1
263059	-20.1
263231	-20.1
263232	-20.1
263350	-20.1
263350	20.1
263389	20.1
263486	20.1
263619	20.1
263782	20.1
263950	20.1
264182	20.1
264462	20.1
264550	20.1
264909	20.1
265150	20.1
265633	20.1
265750	20.1
266350	20.1
266950	20.1
267550	20.1
268150	20.1
268750	20.1
269350	20.1
269950	20.1
270550	20.1
271150	20.1
271750	20.1
272350	20.1
272950	20.1
273550	20.1
274150	20.1
274750	20.1
275350	20.1
275950	20.1
276550	20.1
277150	20.1
277750	20.1
278350	20.1
278950	20.1
279550	20.1
280150	20.1
280750	20.1
281350	20.1
281950	20.1
282550	20.1
283150	20.1
283750	20.1
284350	20.1
284950	20.1
285550	20.1
286150	20.1
286750	20.1
287350	20.1
287950	20.1
288550	20.1
289150	20.1
289750	20.1
290350	20.1
290950	20.1
291550	20.1
292150	20.1
292750	20.1
293350	20.1
293950	20.1
294550	20.1
295150	20.1
295750	20.1
296350	20.1
296950	20.1
297550	20.1
298150	20.1
298750	20.1
299350	20.1
299950	20.1
300550	20.1
301150	20.1
301750	20.1
